Configuration,Rule Source,Sarif Identifier,Alerts
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-randomness,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-smtp-ssl,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-trustmanager,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insufficient-key-size,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/jexl-expression-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/jhipster-prng,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/jndi-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/ldap-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/local-temp-file-or-directory-information-disclosure,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/log-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/maven/dependency-upon-bintray,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/maven/non-https-url,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/missing-jwt-signature-check,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/mvel-expression-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/netty-http-request-or-response-splitting,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/ognl-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/overly-large-range,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/partial-path-traversal,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/partial-path-traversal-from-remote,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/path-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/polynomial-redos,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/potentially-dangerous-function,0
